Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes,group,category,n_genes,p_adj_global
GO_Biological_Process_2021_fixed.gmt,T cell activation (GO:0042110),12/92,2.282574895078122e-14,2.1433378264783563e-11,36.72919254658385,1153.6965224201301,CD7;CD28;CD3E;ITK;GATA3;CD2;CCR7;LAT;LCK;CD3G;RHOH;TNFRSF4,0,GO_BP,100,4.00321922540495e-09
GO_Biological_Process_2021_fixed.gmt,positive regulation of T cell activation (GO:0050870),10/75,3.0407546946156756e-12,1.4276343291220597e-09,36.77951358068525,975.3528082354937,CD28;CD3E;CD6;GATA3;CD40LG;CCR7;SIRPG;LCK;RHOH;IL23A,0,GO_BP,100,1.8712028198019135e-07
GO_Biological_Process_2021_fixed.gmt,antigen receptor-mediated signaling pathway (GO:0050851),10/185,2.4084725887199616e-08,7.53851920269348e-06,13.624792950374346,239.00186670015404,TRAT1;CD28;CD3E;ITK;GATA3;BCL2;CD3D;LAT;LCK;CD3G,0,GO_BP,100,0.0005866695517012812
GO_Biological_Process_2021_fixed.gmt,T cell receptor signaling pathway (GO:0050852),9/158,8.10618414740652e-08,9.981352359938658e-06,14.275345298577957,233.08860174594454,TRAT1;CD28;CD3E;ITK;GATA3;CD3D;LAT;LCK;CD3G,0,GO_BP,100,0.0007239872182631233
GO_Biological_Process_2021_fixed.gmt,cellular response to cytokine stimulus (GO:0071345),14/482,8.503814577157537e-08,9.981352359938658e-06,7.364271413073198,119.89156039152532,LEF1;USP10;FLT3LG;TCF7;SOCS3;GATA3;BCL2;CCR7;LCK;MYC;SOCS1;LDLRAP1;IL32;IL23A,0,GO_BP,100,0.0007239872182631233
GO_Biological_Process_2021_fixed.gmt,cytokine-mediated signaling pathway (GO:0019221),16/621,4.68003347455422e-08,9.981352359938658e-06,6.641830231425607,112.0966626992571,FLT3LG;SOCS3;LTB;IL7R;GATA3;BCL2;CD40LG;CD27;TNFRSF25;LCK;CISH;MYC;TNFRSF4;SOCS1;IL32;IL23A,0,GO_BP,100,0.0007239872182631233
GO_Biological_Process_2021_fixed.gmt,positive regulation of T cell differentiation (GO:0045582),6/43,6.341653481866115e-08,9.981352359938658e-06,37.517177615571775,621.7924892176535,LEF1;TESPA1;GATA3;RHOH;SOCS1;IL23A,0,GO_BP,100,0.0007239872182631233
GO_Biological_Process_2021_fixed.gmt,positive regulation of lymphocyte proliferation (GO:0050671),7/75,8.316069490505498e-08,9.981352359938658e-06,23.99918896999189,391.2465626165745,CD28;CD3E;CD6;BCL2;CD40LG;TNFRSF4;IL23A,0,GO_BP,100,0.0007239872182631233
GO_Cellular_Component_2021_fixed.gmt,T cell receptor complex (GO:0042101),4/12,2.0923139066975066e-07,1.2344652049515289e-05,119.88293535235877,1843.7785739991255,TRAT1;CD3G;CD3E;CD3D,0,GO_CC,100,0.0008783513853517021
GO_Cellular_Component_2021_fixed.gmt,alpha-beta T cell receptor complex (GO:0042105),3/6,1.939636627881101e-06,5.721928052249248e-05,222.14563106796118,2921.8836863777833,CD3G;CD3E;CD3D,0,GO_CC,100,0.0031665573687669727
GO_Biological_Process_2021_fixed.gmt,positive thymic T cell selection (GO:0045059),3/5,1.1589956288272662e-06,0.00012092187727431145,290.9944055944056,3977.298954555379,CD3G;CD3E;CD3D,0,GO_BP,100,0.006145628198070618
GO_Biological_Process_2021_fixed.gmt,regulation of T cell differentiation (GO:0045580),5/39,1.313823783236286e-06,0.00012336805324588725,34.016160984256075,460.66619887713915,TCF7;CD2;GATA3;RHOH;CAMK4,0,GO_BP,100,0.006227585985135294
GO_Biological_Process_2021_fixed.gmt,T cell differentiation (GO:0030217),5/41,1.6969364593263896e-06,0.00014485666684613453,32.147925495220264,427.13939210004327,TCF7;CD28;GATA3;LCK;RHOH,0,GO_BP,100,0.007214827720049807
GO_Molecular_Function_2021_fixed.gmt,signaling receptor complex adaptor activity (GO:0030159),5/39,1.3677511624698936e-06,0.0002106336790203636,34.01684292988641,459.30706924964505,TRAT1;CD3E;LAT;CD3G;LDLRAP1,0,GO_MF,100,0.010152543328781526
GO_Biological_Process_2021_fixed.gmt,regulation of T cell activation (GO:0050863),5/47,3.3941335102493064e-06,0.0002655909471770082,27.598222598391875,347.5571690724148,SIT1;CD2;LAT;SIRPG;LCK,0,GO_BP,100,0.012401437289746428
GO_Biological_Process_2021_fixed.gmt,regulation of interleukin-4 production (GO:0032673),4/23,4.5759483238058745e-06,0.0003305242673887474,48.59083469721767,597.4095699887747,LEF1;GATA3;CD28;CD40LG,0,GO_BP,100,0.015337557774293985
GO_Biological_Process_2021_fixed.gmt,positive regulation of cytokine production (GO:0001819),10/335,5.662640413545553e-06,0.0003798013820228053,7.271067766941735,87.84627972030576,LTB;CD28;ITK;CD6;CD2;GATA3;RGCC;CD40LG;CCR7;IL23A,0,GO_BP,100,0.017301805640807185
GO_Biological_Process_2021_fixed.gmt,cellular response to interleukin-4 (GO:0071353),3/10,1.3661933810457186e-05,0.0008017847405012061,96.96550116550117,1086.100605309527,LEF1;TCF7;GATA3,0,GO_BP,100,0.030561907123900563
GO_Biological_Process_2021_fixed.gmt,response to interleukin-4 (GO:0070670),3/10,1.3661933810457186e-05,0.0008017847405012061,96.96550116550117,1086.100605309527,LEF1;TCF7;GATA3,0,GO_BP,100,0.030561907123900563
GO_Biological_Process_2021_fixed.gmt,positive regulation of T cell proliferation (GO:0042102),5/66,1.8380767108988307e-05,0.0010152670773729423,19.047493712347194,207.69778962006072,CD28;CD3E;CD6;CD40LG;IL23A,0,GO_BP,100,0.037364829236715524
GO_Biological_Process_2021_fixed.gmt,positive regulation of interleukin-12 production (GO:0032735),4/34,2.299755020829627e-05,0.001199705535866122,31.043250784792466,331.5457323675059,CCR7;LTB;IL23A;CD40LG,0,GO_BP,100,0.04294525278933992
GO_Biological_Process_2021_fixed.gmt,regulation of T cell proliferation (GO:0042129),5/76,3.6564736000077545e-05,0.0018070677423196217,16.372440509131156,167.26783147350878,CD28;CD3E;CD6;CD40LG;IL23A,0,GO_BP,100,0.061929372031513275
