Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes,group,pathway_db,n_genes
KEGG_2021_Human_fixed.gmt,AGE-RAGE signaling pathway in diabetic complications,2/100,0.1831727898302338,0.39852458327929247,3.267508563410507,5.546025164707548,IL1B;RAC1,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Acute myeloid leukemia,1/67,0.40947417706348976,0.6048196560295583,2.8689924812030076,2.5616701303668306,SPI1,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Adherens junction,3/71,0.01773910065006741,0.06346656010357452,6.712010617120106,27.062719413030283,ACTB;ACTG1;RAC1,5,KEGG,100
KEGG_2021_Human_fixed.gmt,African trypanosomiasis,1/37,0.25199279205690117,0.47175394792047776,5.246794520547946,7.231944384877638,IL1B,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Allograft rejection,10/38,1.5754715313496387e-13,3.1706364568411483e-12,55.00491883915396,1621.4928405189455,HLA-DRB1;HLA-DMB;HLA-DPB1;HLA-DRA;HLA-DQA2;HLA-DQB1;HLA-DPA1;HLA-DQA1;HLA-DMA;HLA-DRB5,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Alzheimer disease,5/369,0.1596089067050192,0.36193005604940975,1.9735851711160353,3.621585606740991,SLC25A6;GAPDH;IL1B;BID;TUBA1B,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Amoebiasis,4/102,0.00807268985852039,0.035127109924913046,6.079213411252826,29.297361919129703,RAB7A;CD1D;IL1B;CD1C,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Amyotrophic lateral sclerosis,7/364,0.02250367885589315,0.07708707012337866,2.843678445448357,10.789133502096382,ACTB;GPX1;ACTG1;BID;TUBA1B;GABARAP;RAC1,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Antigen processing and presentation,12/78,4.921259564593615e-13,7.202934453632473e-12,29.014891597926855,822.2832378677198,HLA-DRB1;HLA-DMB;HLA-DPB1;HLA-DRA;HLA-DQA2;HLA-DQB1;IFI30;HLA-DPA1;HLA-DQA1;HLA-DMA;HLA-DRB5;CD74,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Apelin signaling pathway,1/137,0.6610201088397389,0.7442254372251607,1.3854065934065933,0.5735181774671678,GABARAP,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Apoptosis,5/142,0.004853735410742999,0.023680345488776452,5.387008547008547,28.702017538186343,ACTB;ACTG1;BID;CTSH;TUBA1B,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Arachidonic acid metabolism,1/61,0.3808396826236448,0.5730391486206244,3.155900826446281,3.0466333555021596,GPX1,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Arginine and proline metabolism,2/50,0.05773659364960033,0.17876137649203178,6.677981728270891,19.044696358828624,LAP3;ALDH2,5,KEGG,100
