Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes,group,pathway_db,n_genes,p_adj_global
Reactome_2022_fixed.gmt,Eukaryotic Translation Elongation R-HSA-156842,64/90,2.5914189899287176e-129,1.2775695620348578e-126,1444.035040431267,427551.7307141352,RPS5;RPL37A;RPS27;RPS4Y1;RPS3A;RPS12;RPLP0;RPL36;RPS10;RPS2;RPS4X;RPS27A;RPL21;RPL5;RPL34;RPL9;RPL14;RPSA;RPL22;RPL36A;RPS28;RPS20;RPL28;RPS15A;RPL27;EEF1B2;RPL18;RPS25;RPS23;RPL10A;RPS3;RPLP1;RPS21;RPL15;RPLP2;RPL32;RPS19;EEF1A1;RPS8;RPL27A;RPL7;RPS16;RPL31;RPL38;RPL7A;RPL11;RPL19;RPS6;RPL6;RPS15;RPS29;RPL18A;RPS7;RPS14;RPL3;RPL30;RPL35A;RPL12;RPS13;RPL4;RPL23A;RPL35;RPL37;RPL13A,0,REACTOME,100,4.112496420190207e-123
Reactome_2022_fixed.gmt,Peptide Chain Elongation R-HSA-156902,63/86,2.450254366630933e-128,6.039877013745251e-126,1516.9160437032776,445722.5707192043,RPS5;RPL37A;RPS27;RPS4Y1;RPS3A;RPS12;RPLP0;RPL36;RPS10;RPS2;RPS4X;RPS27A;RPL21;RPL5;RPL34;RPL9;RPL14;RPSA;RPL22;RPL36A;RPS28;RPS20;RPL28;RPS15A;RPL27;RPL18;RPS25;RPS23;RPL10A;RPS3;RPLP1;RPS21;RPL15;RPLP2;RPL32;RPS19;EEF1A1;RPS8;RPL27A;RPL7;RPS16;RPL31;RPL38;RPL7A;RPL11;RPL19;RPS6;RPL6;RPS15;RPS29;RPL18A;RPS7;RPS14;RPL3;RPL30;RPL35A;RPL12;RPS13;RPL4;RPL23A;RPL35;RPL37;RPL13A,0,REACTOME,100,9.721182053622981e-123
Reactome_2022_fixed.gmt,Eukaryotic Translation Termination R-HSA-72764,62/90,4.3561153088912095e-123,4.295129694566733e-121,1167.3976608187133,328910.07168299885,RPS5;RPL37A;RPS27;RPS4Y1;RPS3A;RPS12;RPLP0;RPL36;RPS10;RPS2;RPS4X;RPS27A;RPL21;RPL5;RPL34;RPL9;RPL14;RPSA;RPL22;RPL36A;RPS28;RPS20;RPL28;RPS15A;RPL27;RPL18;RPS25;RPS23;RPL10A;RPS3;RPLP1;RPS21;RPL15;RPLP2;RPL32;RPS19;RPS8;RPL27A;RPL7;RPS16;RPL31;RPL38;RPL7A;RPL11;RPL19;RPS6;RPL6;RPS15;RPS29;RPL18A;RPS7;RPS14;RPL3;RPL30;RPL35A;RPL12;RPS13;RPL4;RPL23A;RPL35;RPL37;RPL13A,0,REACTOME,100,2.7652044973620626e-118
Reactome_2022_fixed.gmt,Selenocysteine Synthesis R-HSA-2408557,62/90,4.3561153088912095e-123,4.295129694566733e-121,1167.3976608187133,328910.07168299885,RPS5;RPL37A;RPS27;RPS4Y1;RPS3A;RPS12;RPLP0;RPL36;RPS10;RPS2;RPS4X;RPS27A;RPL21;RPL5;RPL34;RPL9;RPL14;RPSA;RPL22;RPL36A;RPS28;RPS20;RPL28;RPS15A;RPL27;RPL18;RPS25;RPS23;RPL10A;RPS3;RPLP1;RPS21;RPL15;RPLP2;RPL32;RPS19;RPS8;RPL27A;RPL7;RPS16;RPL31;RPL38;RPL7A;RPL11;RPL19;RPS6;RPL6;RPS15;RPS29;RPL18A;RPS7;RPS14;RPL3;RPL30;RPL35A;RPL12;RPS13;RPL4;RPL23A;RPL35;RPL37;RPL13A,0,REACTOME,100,2.7652044973620626e-118
Reactome_2022_fixed.gmt,Viral mRNA Translation R-HSA-192823,62/90,4.3561153088912095e-123,4.295129694566733e-121,1167.3976608187133,328910.07168299885,RPS5;RPL37A;RPS27;RPS4Y1;RPS3A;RPS12;RPLP0;RPL36;RPS10;RPS2;RPS4X;RPS27A;RPL21;RPL5;RPL34;RPL9;RPL14;RPSA;RPL22;RPL36A;RPS28;RPS20;RPL28;RPS15A;RPL27;RPL18;RPS25;RPS23;RPL10A;RPS3;RPLP1;RPS21;RPL15;RPLP2;RPL32;RPS19;RPS8;RPL27A;RPL7;RPS16;RPL31;RPL38;RPL7A;RPL11;RPL19;RPS6;RPL6;RPS15;RPS29;RPL18A;RPS7;RPS14;RPL3;RPL30;RPL35A;RPL12;RPS13;RPL4;RPL23A;RPL35;RPL37;RPL13A,0,REACTOME,100,2.7652044973620626e-118
Reactome_2022_fixed.gmt,Nonsense Mediated Decay (NMD) Independent Of Exon Junction Complex (EJC) R-HSA-975956,62/92,4.176823592518924e-122,3.431956718519716e-120,1090.6368221941993,304817.53779983683,RPS5;RPL37A;RPS27;RPS4Y1;RPS3A;RPS12;RPLP0;RPL36;RPS10;RPS2;RPS4X;RPS27A;RPL21;RPL5;RPL34;RPL9;RPL14;RPSA;RPL22;RPL36A;RPS28;RPS20;RPL28;RPS15A;RPL27;RPL18;RPS25;RPS23;RPL10A;RPS3;RPLP1;RPS21;RPL15;RPLP2;RPL32;RPS19;RPS8;RPL27A;RPL7;RPS16;RPL31;RPL38;RPL7A;RPL11;RPL19;RPS6;RPL6;RPS15;RPS29;RPL18A;RPS7;RPS14;RPL3;RPL30;RPL35A;RPL12;RPS13;RPL4;RPL23A;RPL35;RPL37;RPL13A,0,REACTOME,100,1.8412447794858275e-117
Reactome_2022_fixed.gmt,Formation Of A Pool Of Free 40S Subunits R-HSA-72689,62/98,2.2329712788428508e-119,1.376068550586907e-117,910.827186512118,248841.89749583215,RPS5;RPL37A;RPS27;RPS4Y1;RPS3A;RPS12;RPLP0;RPL36;RPS10;RPS2;RPS4X;RPS27A;RPL21;RPL5;RPL34;RPL9;RPL14;RPSA;RPL22;RPL36A;RPS28;RPS20;RPL28;RPS15A;RPL27;RPL18;RPS25;RPS23;RPL10A;RPS3;RPLP1;RPS21;RPL15;RPLP2;RPL32;RPS19;RPS8;RPL27A;RPL7;RPS16;RPL31;RPL38;RPL7A;RPL11;RPL19;RPS6;RPL6;RPS15;RPS29;RPL18A;RPS7;RPS14;RPL3;RPL30;RPL35A;RPL12;RPS13;RPL4;RPL23A;RPL35;RPL37;RPL13A,0,REACTOME,100,5.536955830424067e-115
Reactome_2022_fixed.gmt,Response Of EIF2AK4 (GCN2) To Amino Acid Deficiency R-HSA-9633012,62/98,2.2329712788428508e-119,1.376068550586907e-117,910.827186512118,248841.89749583215,RPS5;RPL37A;RPS27;RPS4Y1;RPS3A;RPS12;RPLP0;RPL36;RPS10;RPS2;RPS4X;RPS27A;RPL21;RPL5;RPL34;RPL9;RPL14;RPSA;RPL22;RPL36A;RPS28;RPS20;RPL28;RPS15A;RPL27;RPL18;RPS25;RPS23;RPL10A;RPS3;RPLP1;RPS21;RPL15;RPLP2;RPL32;RPS19;RPS8;RPL27A;RPL7;RPS16;RPL31;RPL38;RPL7A;RPL11;RPL19;RPS6;RPL6;RPS15;RPS29;RPL18A;RPS7;RPS14;RPL3;RPL30;RPL35A;RPL12;RPS13;RPL4;RPL23A;RPL35;RPL37;RPL13A,0,REACTOME,100,5.536955830424067e-115
Reactome_2022_fixed.gmt,L13a-mediated Translational Silencing Of Ceruloplasmin Expression R-HSA-156827,62/108,2.083309221711247e-115,1.0270714463036447e-113,714.2610973256135,188610.1624870744,RPS5;RPL37A;RPS27;RPS4Y1;RPS3A;RPS12;RPLP0;RPL36;RPS10;RPS2;RPS4X;RPS27A;RPL21;RPL5;RPL34;RPL9;RPL14;RPSA;RPL22;RPL36A;RPS28;RPS20;RPL28;RPS15A;RPL27;RPL18;RPS25;RPS23;RPL10A;RPS3;RPLP1;RPS21;RPL15;RPLP2;RPL32;RPS19;RPS8;RPL27A;RPL7;RPS16;RPL31;RPL38;RPL7A;RPL11;RPL19;RPS6;RPL6;RPS15;RPS29;RPL18A;RPS7;RPS14;RPL3;RPL30;RPL35A;RPL12;RPS13;RPL4;RPL23A;RPL35;RPL37;RPL13A,0,REACTOME,100,3.3061429856514327e-111
Reactome_2022_fixed.gmt,SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339,62/108,2.083309221711247e-115,1.0270714463036447e-113,714.2610973256135,188610.1624870744,RPS5;RPL37A;RPS27;RPS4Y1;RPS3A;RPS12;RPLP0;RPL36;RPS10;RPS2;RPS4X;RPS27A;RPL21;RPL5;RPL34;RPL9;RPL14;RPSA;RPL22;RPL36A;RPS28;RPS20;RPL28;RPS15A;RPL27;RPL18;RPS25;RPS23;RPL10A;RPS3;RPLP1;RPS21;RPL15;RPLP2;RPL32;RPS19;RPS8;RPL27A;RPL7;RPS16;RPL31;RPL38;RPL7A;RPL11;RPL19;RPS6;RPL6;RPS15;RPS29;RPL18A;RPS7;RPS14;RPL3;RPL30;RPL35A;RPL12;RPS13;RPL4;RPL23A;RPL35;RPL37;RPL13A,0,REACTOME,100,3.3061429856514327e-111
